rank,issue_name,nserror_domain,nserror_code,issue_id,variants_total,events_total,users_total,processed_events,analysed_events,last_scraped
1,hu.microsec.eszigno.mobile.SelfServiceRuntimeError (30803),hu.microsec.eszigno.mobile.hu.microsec.eszigno.mobile.SelfServiceRuntimeError,30803,,0,447,170,261,0,2026-08-05T15:07:51.448Z
2,FaceKom handleFlow (0),FaceKom handleFlow,0,,0,214,157,168,0,2026-08-05T15:07:51.448Z
3,FaceKom stopAndClear (0),FaceKom stopAndClear,0,,0,45,37,43,0,2026-08-05T15:07:51.448Z
4,FaceKomSDK.FaceKomError (46),hu.microsec.eszigno.mobile.FaceKomSDK.FaceKomError,46,,0,10,9,61,0,2026-08-05T15:07:51.448Z
5,FaceKomSDK.FaceKomError (3),hu.microsec.eszigno.mobile.FaceKomSDK.FaceKomError,3,,0,1,,101,0,2026-08-05T15:07:51.448Z
